complaint_id,product_code,received_date,close_date,event_description,imdrf_code,regulatory_market,status,quality_issue
CMP-2023-00738,FRN,2023-05-30,2023-08-09,,A1501,CA,Closed,Missing event_description; 
CMP-2023-00812,QPP,2024-03-20,2024-05-20,Hospital reported post-operative imaging revealed Titanium Rod bending beyond acceptable limits. Patient required revision surgery. The device was implanted 723 days prior. Surgeon attributed the event to patient non-compliance with weight-bearing restrictions. IMDRF assessment pending. Complaint received via distributor.,A1601,IN,Closed,Duplicate complaint_id; 
CMP-2022-00550,XXX-999,2021-01-08,2021-03-23,"Clinician reported Locking Plate leak during balloon inflation. Procedure was percutaneous transluminal angioplasty (PTA). Patient experienced minor blood loss, no intervention required. Device lot LOT8159710 returned for analysis. The event occurred during the first inflation cycle.",A1501,IN,Closed,Unknown product_code; 
CMP-2022-00329,QPP,2023-08-10,2023-11-01,,A0801,US,Closed,Missing event_description; 
CMP-2023-00618,FRY,,2023-04-07,Field service engineer noted Drip Chamber separation from the main construct during a routine follow-up visit. No acute patient injury. Explanted device returned for laboratory analysis. Event occurred 289 days post-implant. Patient age: 71 years.,A1001,US,Closed,Missing received_date; 
CMP-2022-00494,KZE,2023-07-19,,,A1001,JP,Investigating,Missing event_description; 
CMP-2021-00290,XXX-999,2022-04-20,2022-05-31,Clinician reported device labeling discrepancy: the lot number on the inner pouch does not match the outer carton. Device was not used pending clarification. Potential labeling error under investigation.,A0301,CA,Closed,Unknown product_code; 
CMP-2023-00765,XXX-999,2024-04-09,2024-07-05,"Catheter reported to have kinked proximal to the Needle/Catheter during navigation, resulting in device exchange. Procedure was abandoned and rescheduled. Patient experienced extended procedure time. No permanent harm reported.",A0105,JP,Closed,Unknown product_code; 
CMP-2024-00960,GYN,,2024-08-05,"Clinician reported Lid Mechanism leak during balloon inflation. Procedure was blood sample collection. Patient experienced minor blood loss, no intervention required. Device lot LOT6283161 returned for analysis. The event occurred during the first inflation cycle.",A0801,IN,Closed,Missing received_date; 
CMP-2021-00087,MQP,,2021-09-25,User reported that the Pedicle Screw hub cracked upon connection to the extension set. No patient injury. Device was discarded and procedure completed with a replacement device. Complaint originated from a hospital in JP market.,A1001,JP,Closed,Missing received_date; 
CMP-2021-00073,OZO,2023-03-14,2023-04-28,,A0601,JP,Closed,Missing event_description; 
CMP-2021-00248,XXX-999,2021-10-13,2022-01-06,"Clinician reported Plunger leak during balloon inflation. Procedure was anterior cervical discectomy and fusion (ACDF). Patient experienced minor blood loss, no intervention required. Device lot LOT2966890 returned for analysis. The event occurred during the first inflation cycle.",A1301,US,Closed,Unknown product_code; 
CMP-2023-00644,KZE,2024-06-13,2024-08-12,,A0601,IN,Closed,Missing event_description; 
CMP-2022-00596,XXX-999,2021-04-22,2021-05-22,Hospital reported post-operative imaging revealed Intramedullary Nail bending beyond acceptable limits. Patient required revision surgery. The device was implanted 459 days prior. Surgeon attributed the event to patient non-compliance with weight-bearing restrictions. IMDRF assessment pending. Complaint received via distributor.,A0105,BR,Closed,Unknown product_code; 
CMP-2021-00299,OZO,,2022-09-29,Nurse reported that the Connector drip chamber cracked upon spiking the IV bag. IV solution leaked onto the patient's bed. Procedure delayed by 15 minutes. No patient harm. Device returned. Lot LOT3557213.,A1501,US,Closed,Missing received_date; 
CMP-2023-00678,KZE,,2021-11-16,Clinician reported device labeling discrepancy: the lot number on the inner pouch does not match the outer carton. Device was not used pending clarification. Potential labeling error under investigation.,A2001,AU,Closed,Missing received_date; 
CMP-2022-00527,FRY,2024-07-10,2024-10-01,,A1601,IN,Closed,Missing event_description; 
CMP-2021-00214,GYN,2023-08-06,,,A0501,JP,Open,Missing event_description; 
CMP-2023-00812,QPP,2024-03-20,2024-05-20,Hospital reported post-operative imaging revealed Titanium Rod bending beyond acceptable limits. Patient required revision surgery. The device was implanted 723 days prior. Surgeon attributed the event to patient non-compliance with weight-bearing restrictions. IMDRF assessment pending. Complaint received via distributor.,A1601,IN,Closed,Duplicate complaint_id; 
